Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
ATLANTIC AVE & PINETREE WAY & TURNING LANE,PDO,COQUITLAM,2021,7,49.281725,-122.793291
LOUGHEED HWY & PONDEROSA ST,PDO,COQUITLAM,2021,3,49.274781,-122.793282
ANSON AVE & PONDEROSA ST,PDO,COQUITLAM,2021,2,49.27747,-122.793181
OBELISK WAY & PINETREE WAY,PDO,COQUITLAM,2021,1,49.281686,-122.793161
PLATEAU BLVD & TIMBER CRT,Casualty,COQUITLAM,2019,1,49.306321,-122.78926
EASTWOOD ST & GUILDFORD WAY,Casualty,COQUITLAM,2019,1,49.284977,-122.787971
DAYANEE SPRINGS BLVD & PINETREE WAY,Casualty,COQUITLAM,2019,1,49.295045,-122.787936
PINETREE WAY & ROBSON DR,Casualty,COQUITLAM,2019,2,49.298666,-122.787346
BOBCAT PL & CARDINAL CRT & PINETREE WAY,Casualty,COQUITLAM,2019,1,49.304325,-122.784082
PURCELL DR & ROBSON DR,Casualty,COQUITLAM,2019,1,49.297204,-122.783514
GABRIOLA DR & PIPELINE RD & PRIVATE DRIVEWAY,Casualty,COQUITLAM,2019,2,49.291372,-122.781833
DAVID AVE & PIPELINE RD & TURNING LANE,Casualty,COQUITLAM,2019,29,49.292831,-122.781174
GABRIOLA DR & NESTOR ST,Casualty,COQUITLAM,2019,1,49.292837,-122.778712
LINCOLN AVE & OXFORD ST,Casualty,COQUITLAM,2019,2,49.278367,-122.767252
DAVID AVE & GLENBROOK ST,Casualty,COQUITLAM,2019,1,49.292976,-122.759865
DAWES HILL RD & WARRICK ST,Casualty,COQUITLAM,2019,1,49.237437,-122.827889
BUOY DR & DEWDNEY TRUNK RD,Casualty,COQUITLAM,2019,1,49.275746,-122.821053
HWY 7 OFFRAMP & LOUGHEED HWY ONRAMP & UNITED BLVD,Casualty,COQUITLAM,2019,5,49.236859,-122.82073
MARY HILL BYPASS ONRAMP & PORT MANN BRIDGE & TRANS-CANADA HWY & UNITED BLVD,Casualty,COQUITLAM,2019,16,49.227104,-122.819872
MARY HILL BYPASS ONRAMP & TRANS-CANADA HWY OFFRAMP & UNITED BLVD,Casualty,COQUITLAM,2019,7,49.227977,-122.819565
HWY 7B OFFRAMP & MARY HILL BYPASS OFFRAMP & UNITED BLVD,Casualty,COQUITLAM,2019,1,49.228091,-122.819504
DAVID AVE & NOONS CREEK DR,Casualty,COQUITLAM,2019,1,49.296198,-122.819482
COMO LAKE AVE & MARINER WAY & SPURAWAY AVE & TURNING LANE,Casualty,COQUITLAM,2019,13,49.263154,-122.817684
MARA DR & MARINER WAY,Casualty,COQUITLAM,2019,1,49.259547,-122.816121
AUSTIN AVE & MARINER WAY & TURNING LANE,Casualty,COQUITLAM,2019,7,49.249074,-122.815642
HAWSER AVE & MARINER WAY,Casualty,COQUITLAM,2019,1,49.270858,-122.81466
DAYBREAK AVE & MARINER WAY,Casualty,COQUITLAM,2019,1,49.268279,-122.813798
BRAMBLEWOOD ELEMENTARY SCHOOL ACCESS & LANSDOWNE DR & PANORAMA DR,Casualty,COQUITLAM,2019,1,49.297459,-122.813764
GLEN DR & HEATH CRES & LANSDOWNE DR,Casualty,COQUITLAM,2019,5,49.2827,-122.808645
EAGLERIDGE DR & HIALEAH CRT & LANSDOWNE DR,Casualty,COQUITLAM,2019,2,49.280723,-122.808318
LANSDOWNE DR & RUNNEL DR & MALL ACCESS,Casualty,COQUITLAM,2019,2,49.27881,-122.808298
CHILKO DR & RIVERVIEW CRES,Casualty,COQUITLAM,2019,2,49.253603,-122.807216
DEWDNEY TRUNK RD & HANSARD CRES,Casualty,COQUITLAM,2019,1,49.274258,-122.805907
DEWDNEY TRUNK RD & LOCARNO DR,Casualty,COQUITLAM,2019,1,49.273755,-122.805243
BARNET HWY & TURNING LANE,Casualty,COQUITLAM,2019,1,49.277683,-122.804273
PARKWAY BLVD,Casualty,COQUITLAM,2018,1,49.297005,-122.803193
LOUGHEED HWY,Casualty,COQUITLAM,2019,2,49.247388,-122.802684
LOUGHEED HWY,Casualty,COQUITLAM,2018,1,49.248783,-122.802084
JOHNSON ST & PARKWAY BLVD,Casualty,COQUITLAM,2019,3,49.296836,-122.801824
JOHNSON ST & PACKARD AVE,Casualty,COQUITLAM,2019,3,49.279958,-122.80169
JOHNSON ST & MALL ACCESS,Casualty,COQUITLAM,2019,2,49.279177,-122.801685
ATLANTIC AVE & JOHNSON ST,Casualty,COQUITLAM,2019,1,49.280924,-122.801684
GLEN DR & JOHNSON ST,Casualty,COQUITLAM,2019,10,49.28271,-122.801674
NORTHERN AVE & PINETREE WAY,PDO,COQUITLAM,2019,3,49.28078,-122.79331
ATLANTIC AVE & PINETREE WAY & TURNING LANE,PDO,COQUITLAM,2019,2,49.281725,-122.793291
GLEN DR & PINETREE WAY,PDO,COQUITLAM,2019,13,49.282675,-122.793195
DEWDNEY TRUNK RD & WESTWOOD ST,PDO,COQUITLAM,2019,8,49.268044,-122.790638
CHRISTMAS WAY & WESTWOOD ST,PDO,COQUITLAM,2019,8,49.271863,-122.790555
LINCOLN AVE & WESTWOOD ST,PDO,COQUITLAM,2019,8,49.279053,-122.790461
GLEN DR & WESTWOOD ST,PDO,COQUITLAM,2019,2,49.282671,-122.790406
DAVID AVE & PINETREE WAY & TURNING LANE,PDO,COQUITLAM,2019,20,49.294211,-122.789997
EASTWOOD ST & GLEN DR,PDO,COQUITLAM,2019,1,49.282651,-122.787951
PIPELINE RD & WINDSOR GATE,PDO,COQUITLAM,2019,2,49.280054,-122.787483
PADDOCK DR & PINETREE WAY & PLATEAU BLVD,PDO,COQUITLAM,2019,3,49.307627,-122.786719
INLET ST & PIPELINE RD,PDO,COQUITLAM,2019,1,49.281574,-122.786711
GLEN DR & PIPELINE RD,PDO,COQUITLAM,2019,1,49.282635,-122.786184
PINETREE WAY & TANAGER CRT,PDO,COQUITLAM,2019,1,49.306281,-122.784229
INLET ST & OZADA AVE,PDO,COQUITLAM,2019,1,49.285736,-122.783176
GABRIOLA DR & PIPELINE RD & PRIVATE DRIVEWAY,PDO,COQUITLAM,2019,4,49.291372,-122.781833
GALETTE AVE & PIPELINE RD & INDUSTRIAL ACCESS ROAD,PDO,COQUITLAM,2019,2,49.303859,-122.774776
DAVID AVE & OXFORD ST,PDO,COQUITLAM,2019,4,49.292967,-122.763114
HOLLYBROOK ST & MASON AVE,PDO,COQUITLAM,2019,1,49.289283,-122.757615
COAST MERIDIAN RD & DARWIN AVE,PDO,COQUITLAM,2019,2,49.287534,-122.756016
COAST MERIDIAN RD & HARPER RD,PDO,COQUITLAM,2019,1,49.30486,-122.755781
APEL DR & SOBALL ST & VICTORIA DR,PDO,COQUITLAM,2019,1,49.285755,-122.750404
CEDAR DR & HUBER DR & VICTORIA DR,PDO,COQUITLAM,2019,1,49.285678,-122.734007
ADIRON AVE & ANSKAR CRT & ROBINSON ST,Casualty,COQUITLAM,2018,1,49.267426,-122.880253
ADLER AVE & ASPEN ST,Casualty,COQUITLAM,2018,1,49.257914,-122.886917
ALDERSON AVE & NELSON ST,Casualty,COQUITLAM,2018,1,49.239748,-122.865063
ALPINE LANE & BOBCAT PL,Casualty,COQUITLAM,2018,1,49.304351,-122.78529
APEL DR & SOBALL ST & VICTORIA DR,Casualty,COQUITLAM,2018,1,49.285755,-122.750404
ATLANTIC AVE & BALDWIN ST,Casualty,COQUITLAM,2018,1,49.281752,-122.797036
ATLANTIC AVE & PINETREE WAY & TURNING LANE,Casualty,COQUITLAM,2018,1,49.281725,-122.793291
AUSTIN AVE & DRAYCOTT ST,Casualty,COQUITLAM,2018,1,49.249033,-122.836901
AUSTIN AVE & LEBLEU ST,Casualty,COQUITLAM,2018,1,49.248996,-122.867637
BALMORAL DR & EDINBURGH DR & PALMER AVE,Casualty,COQUITLAM,2018,1,49.278603,-122.823843
BARNET HWY & BOND ST & TURNING LANE,Casualty,COQUITLAM,2018,1,49.277857,-122.812688
BARTLETT AVE & GATENSBURY ST,Casualty,COQUITLAM,2018,1,49.26937,-122.857439
BEACON DR & CAPSTAN CRES,Casualty,COQUITLAM,2018,1,49.271941,-122.809939
BEGIN ST & BRUNETTE AVE,Casualty,COQUITLAM,2018,1,49.239208,-122.859773
BEGIN ST & PROULX LANE & QUADLING AVE,Casualty,COQUITLAM,2018,1,49.240532,-122.859776
BLUE MOUNTAIN ST & COTTONWOOD AVE,Casualty,COQUITLAM,2018,1,49.258104,-122.868914
BLUE MOUNTAIN ST & FLOYD AVE,Casualty,COQUITLAM,2018,1,49.253093,-122.869023
BLUE MOUNTAIN ST & KING ALBERT AVE,Casualty,COQUITLAM,2018,1,49.251513,-122.86907
BLUE MOUNTAIN ST & RODERICK AVE,Casualty,COQUITLAM,2018,1,49.237886,-122.873068
BLUE MOUNTAIN ST & SMITH AVE,Casualty,COQUITLAM,2018,1,49.259919,-122.868859
BLUE MOUNTAIN ST & SPENCE AVE,Casualty,COQUITLAM,2018,1,49.265429,-122.868663
BOOTH AVE & SCHOOLHOUSE ST,Casualty,COQUITLAM,2018,1,49.239752,-122.852455
BRIGANTINE DR & HARTLEY AVE,Casualty,COQUITLAM,2018,1,49.227042,-122.848987
BRIGANTINE DR & UNITED BLVD,Casualty,COQUITLAM,2018,1,49.228948,-122.848549
BRUNETTE AVE & CAYER ST,Casualty,COQUITLAM,2018,1,49.23843,-122.846333
BRUNETTE AVE & DAWES HILL RD,Casualty,COQUITLAM,2018,1,49.237419,-122.842988
BRUNETTE AVE & WOOLRIDGE ST,Casualty,COQUITLAM,2018,1,49.237433,-122.86869
BURBIDGE ST & UNITED BLVD & INSTITUTIONAL ACCESS ROAD,Casualty,COQUITLAM,2018,1,49.226217,-122.823679
BURLINGTON DR & PINETREE WAY & TURNING LANE,Casualty,COQUITLAM,2018,1,49.283774,-122.793031
CAPE HORN AVE & SAN ANTONIO PL,Casualty,COQUITLAM,2018,1,49.234248,-122.829711
CHANDLER ST & SHEFFIELD AVE,Casualty,COQUITLAM,2018,1,49.2979,-122.743847
CHARLAND AVE & NELSON ST,Casualty,COQUITLAM,2018,1,49.248044,-122.865284
CHARTER HILL DR & LANSDOWNE DR,Casualty,COQUITLAM,2018,1,49.286031,-122.812996
CHILKO DR & MARINER WAY,Casualty,COQUITLAM,2018,1,49.255768,-122.815677
CHILKO DR & RIVERVIEW CRES,Casualty,COQUITLAM,2018,1,49.253603,-122.807216
CHILKO DR & WESTLAKE GATE,Casualty,COQUITLAM,2018,1,49.255766,-122.813936
CHRISTMAS WAY & GORDON AVE,Casualty,COQUITLAM,2018,1,49.272371,-122.793304
CHRISTMAS WAY & LOUGHEED HWY,Casualty,COQUITLAM,2018,1,49.275651,-122.795847
CLAREMONT ST & COMO LAKE AVE,Casualty,COQUITLAM,2018,1,49.263066,-122.890453
CLARKE RD & COTTONWOOD AVE & NORTH RD,Casualty,COQUITLAM,2018,1,49.258977,-122.893006
CLARKE RD & MORRISON AVE,Casualty,COQUITLAM,2018,1,49.265649,-122.884852
CLIPPER ST & UNITED BLVD,Casualty,COQUITLAM,2018,1,49.229357,-122.852568
COCHRANE AVE & WHITING WAY,Casualty,COQUITLAM,2018,1,49.252003,-122.891899
COLFAX AVE & MIDVALE ST,Casualty,COQUITLAM,2018,1,49.246648,-122.838
COMO LAKE AVE & CUSTER CRT,Casualty,COQUITLAM,2018,1,49.263347,-122.838123
COMO LAKE AVE & ELMWOOD ST,Casualty,COQUITLAM,2018,1,49.263124,-122.889267
COMO LAKE AVE & EMERSON ST,Casualty,COQUITLAM,2018,1,49.263251,-122.886792
COMO LAKE AVE & GREENE ST,Casualty,COQUITLAM,2018,1,49.263079,-122.796012
COMO LAKE AVE & LILLIAN ST,Casualty,COQUITLAM,2018,1,49.263515,-122.86038
COMO LAKE AVE & MONTROSE ST,Casualty,COQUITLAM,2018,1,49.263335,-122.836984
COMO LAKE AVE & REGENT ST,Casualty,COQUITLAM,2018,1,49.263486,-122.856138
COMO LAKE AVE & WASCO ST,Casualty,COQUITLAM,2018,1,49.263432,-122.849657
COMO LAKE AVE & WESTWOOD ST,Casualty,COQUITLAM,2018,1,49.263079,-122.79429
CRAIGEN AVE & FINNIGAN ST,Casualty,COQUITLAM,2018,1,49.236661,-122.836859
DACRE AVE & DEWDNEY TRUNK RD & RANCH PARK WAY,Casualty,COQUITLAM,2018,1,49.272146,-122.803116
DANSEY AVE & MARMONT ST,Casualty,COQUITLAM,2018,1,49.247117,-122.86219
DARTMOOR DR & MARINER WAY,Casualty,COQUITLAM,2018,1,49.240174,-122.820482
DAYANEE SPRINGS BLVD & EL CASA CRT & PIPELINE RD,Casualty,COQUITLAM,2018,1,49.294405,-122.780402
DAYANEE SPRINGS BLVD & GENEST WAY,Casualty,COQUITLAM,2018,1,49.29387,-122.784942
DAYANEE SPRINGS BLVD & PINETREE WAY,Casualty,COQUITLAM,2018,1,49.295045,-122.787936
DAYBREAK AVE & STARLIGHT WAY,Casualty,COQUITLAM,2018,1,49.266018,-122.808192
DELESTRE AVE & MARMONT ST,Casualty,COQUITLAM,2018,1,49.24172,-122.862259
DEWDNEY TRUNK RD & HULL CRT,Casualty,COQUITLAM,2018,1,49.275478,-122.810664
DURANT DR & HUDSON ST,Casualty,COQUITLAM,2018,1,49.28754,-122.802689
EAGLERIDGE DR & HIALEAH CRT & LANSDOWNE DR,Casualty,COQUITLAM,2018,1,49.280723,-122.808318
EASTWOOD ST & GUILDFORD WAY,Casualty,COQUITLAM,2018,1,49.284977,-122.787971
EGMONT AVE & ROBINSON ST,Casualty,COQUITLAM,2018,1,49.265852,-122.880132
EL CAMINO DR & EL CASA CRT,Casualty,COQUITLAM,2018,1,49.294296,-122.779334
FAIRVIEW ST & FOSTER AVE,Casualty,COQUITLAM,2018,1,49.256691,-122.882902
FAWCETT RD & HARTLEY AVE,Casualty,COQUITLAM,2018,1,49.225916,-122.834189
FOSTER AVE & GATENSBURY ST & LAKESHORE DR,Casualty,COQUITLAM,2018,1,49.256155,-122.857835
FOSTER AVE & PORTER ST,Casualty,COQUITLAM,2018,1,49.256219,-122.863351
FOSTER AVE & ROBINSON ST,Casualty,COQUITLAM,2018,1,49.256637,-122.879831
FOSTER AVE & WHITING WAY,Casualty,COQUITLAM,2018,1,49.2568,-122.891882
FUCHSIA PL & HONEYSUCKLE LANE,Casualty,COQUITLAM,2018,1,49.293667,-122.819133
GABRIOLA DR & PIPELINE RD & PRIVATE DRIVEWAY,Casualty,COQUITLAM,2018,1,49.291372,-122.781833
GATENSBURY ST & KING ALBERT AVE,Casualty,COQUITLAM,2018,1,49.251423,-122.857938
GATENSBURY ST & LEMAX AVE,Casualty,COQUITLAM,2018,1,49.252642,-122.857915
GLEN DR & MCCOOMB DR,Casualty,COQUITLAM,2018,1,49.282719,-122.803963
GLEN DR & PIPELINE RD,Casualty,COQUITLAM,2018,1,49.282635,-122.786184
GLEN DR & THE HIGH ST,Casualty,COQUITLAM,2018,1,49.282698,-122.796109
GLEN DR & WESTWOOD ST,Casualty,COQUITLAM,2018,1,49.282671,-122.790406
GREENE ST & PINEBROOK PL,Casualty,COQUITLAM,2018,1,49.265592,-122.791934
GREENE ST & WESTWOOD ST,Casualty,COQUITLAM,2018,1,49.265565,-122.790747
GRIZZLY PL & PINETREE WAY & SILVERTHRONE DR,Casualty,COQUITLAM,2018,1,49.301382,-122.784788
GROVER AVE & SCHOOLHOUSE ST,Casualty,COQUITLAM,2018,1,49.262546,-122.852066
GUILBY ST & ROCHESTER AVE,Casualty,COQUITLAM,2018,1,49.245439,-122.88526
HEDGESTONE CRT & WATERFORD PL,Casualty,COQUITLAM,2018,1,49.297227,-122.79222
HENDERSON AVE & TURNING LANE,Casualty,COQUITLAM,2018,1,49.2369,-122.874255
HOWIE AVE & MARMONT ST,Casualty,COQUITLAM,2018,1,49.250527,-122.862166
HOWIE AVE & NELSON ST,Casualty,COQUITLAM,2018,1,49.250571,-122.865617
HWY 7B OFFRAMP & MARY HILL BYPASS OFFRAMP & UNITED BLVD,Casualty,COQUITLAM,2018,1,49.228091,-122.819504
JOHNSON ST & PACKARD AVE,Casualty,COQUITLAM,2018,1,49.279958,-122.80169
JOHNSON ST & PLATEAU BLVD & ROBSON DR,Casualty,COQUITLAM,2018,1,49.301018,-122.793566
KEITH DR & SHAUGHNESSY ST,Casualty,COQUITLAM,2018,1,49.289634,-122.767115
KING ALBERT AVE & SCHOOLHOUSE ST,Casualty,COQUITLAM,2018,1,49.251429,-122.852373
KINGSTON ST & PRINCETON AVE,Casualty,COQUITLAM,2018,1,49.298208,-122.747676
KUGLER AVE & MUNDY ST,Casualty,COQUITLAM,2018,1,49.243642,-122.834233
LANSDOWNE DR & STEEPLE DR,Casualty,COQUITLAM,2018,1,49.290413,-122.816473
LINCOLN AVE & OXFORD ST,Casualty,COQUITLAM,2018,1,49.278367,-122.767252
LOUGHEED HWY,Casualty,COQUITLAM,2018,1,49.247388,-122.802684
LOUGHEED HWY & ROCHESTER AVE,Casualty,COQUITLAM,2018,1,49.245426,-122.891615
LOUGHEED HWY ONRAMP & UNITED BLVD,Casualty,COQUITLAM,2018,1,49.236948,-122.820557
LOUGHEED MALL LOOP & NORTH RD,Casualty,COQUITLAM,2018,1,49.249384,-122.892849
MARINER WAY & SERVICE CENTRE DRIVEWAY,Casualty,COQUITLAM,2018,1,49.251552,-122.81567
MARMONT ST & QUADLING AVE,Casualty,COQUITLAM,2018,1,49.240665,-122.862258
MARMONT ST & RIDGEWAY AVE,Casualty,COQUITLAM,2018,1,49.249673,-122.862163
MARMONT ST & THOMAS AVE,Casualty,COQUITLAM,2018,1,49.24276,-122.862244
MASON AVE & OXFORD ST,Casualty,COQUITLAM,2018,1,49.289334,-122.763159
MORAY ST & PINECREST AVE & THERMAL DR,Casualty,COQUITLAM,2018,1,49.27138,-122.834802
NELSON ST & RIDGEWAY AVE,Casualty,COQUITLAM,2018,1,49.249721,-122.865613
NORTHERN AVE & THE HIGH ST,Casualty,COQUITLAM,2018,1,49.280741,-122.796083
OBELISK WAY & PINETREE WAY,Casualty,COQUITLAM,2018,1,49.281686,-122.793161
PANORAMA DR & PARKWAY BLVD,Casualty,COQUITLAM,2018,1,49.297515,-122.809406
PINETREE WAY & SILVER SPRINGS BLVD,Casualty,COQUITLAM,2018,1,49.294787,-122.788919
PINETREE WAY & TOWN CENTRE BLVD & UNNAMED LANE,Casualty,COQUITLAM,2018,1,49.286826,-122.791332
PIPELINE RD & ROBSON DR,Casualty,COQUITLAM,2018,1,49.298957,-122.778181
PURCELL DR & ROBSON DR,Casualty,COQUITLAM,2018,1,49.297204,-122.783514
ROBSON DR & WATERFORD PL,Casualty,COQUITLAM,2018,1,49.300178,-122.790241
ROSS AVE & SCHOOLHOUSE ST,Casualty,COQUITLAM,2018,1,49.255094,-122.852258
SCHOOLHOUSE ST & SMITH AVE,Casualty,COQUITLAM,2018,1,49.259768,-122.852088
SHUSWAP AVE & UNITED BLVD & TURNING LANE,Casualty,COQUITLAM,2018,1,49.230594,-122.818984
SYDNEY AVE & WESTVIEW ST,Casualty,COQUITLAM,2018,1,49.248192,-122.88964
ALLARD ST & BRUNETTE AVE,Casualty,COQUITLAM,2018,2,49.237326,-122.869235
AUSTIN AVE & HICKEY DR & HICKEY ST,Casualty,COQUITLAM,2018,2,49.24907,-122.82441
AUSTIN AVE & HILLCREST ST,Casualty,COQUITLAM,2018,2,49.249036,-122.835534
AUSTIN AVE & LAURENTIAN CRES,Casualty,COQUITLAM,2018,2,49.248993,-122.843978
AUSTIN AVE & LINTON ST,Casualty,COQUITLAM,2018,2,49.249016,-122.841112
AUSTIN AVE & MONTGOMERY ST,Casualty,COQUITLAM,2018,2,49.249026,-122.839168
AUSTIN AVE & MUNDY ST,Casualty,COQUITLAM,2018,2,49.249045,-122.83427
AUSTIN AVE & SCHOOLHOUSE ST,Casualty,COQUITLAM,2018,2,49.248992,-122.852462
BAKER DR & COMO LAKE AVE,Casualty,COQUITLAM,2018,2,49.263194,-122.824706
BANTING ST & COMO LAKE AVE,Casualty,COQUITLAM,2018,2,49.263605,-122.877045
BARNET HWY & TURNING LANE,Casualty,COQUITLAM,2018,2,49.277683,-122.804273
BLUE MOUNTAIN ST & CHARLAND AVE,Casualty,COQUITLAM,2018,2,49.248134,-122.870137
BRUNETTE AVE & CASEY ST,Casualty,COQUITLAM,2018,2,49.240436,-122.854832
BRUNETTE AVE & LEBLEU ST,Casualty,COQUITLAM,2018,2,49.237668,-122.867509
BRUNETTE AVE & MARATHON CRT,Casualty,COQUITLAM,2018,2,49.240389,-122.850942
BRUNETTE AVE & NELSON ST,Casualty,COQUITLAM,2018,2,49.238192,-122.864947
CAPE HORN AVE & MARINER WAY & UNITED BLVD,Casualty,COQUITLAM,2018,2,49.239085,-122.823042
CARTIER AVE & CASEY ST,Casualty,COQUITLAM,2018,2,49.241294,-122.854829
CHILKO DR & NADINA DR,Casualty,COQUITLAM,2018,2,49.256758,-122.812062
CLARKE RD & INGERSOLL AVE,Casualty,COQUITLAM,2018,2,49.270852,-122.878236
CLARKE RD & KEMSLEY AVE,Casualty,COQUITLAM,2018,2,49.266457,-122.883823
COAST MERIDIAN RD & PRINCETON AVE,Casualty,COQUITLAM,2018,2,49.298451,-122.755873
COAST MERIDIAN RD & VICTORIA DR,Casualty,COQUITLAM,2018,2,49.285742,-122.756041
COMO LAKE AVE & FARROW ST,Casualty,COQUITLAM,2018,2,49.262998,-122.891515
COMO LAKE AVE & MACINTOSH ST,Casualty,COQUITLAM,2018,2,49.263553,-122.865947
COMO LAKE AVE & TOWNLEY ST,Casualty,COQUITLAM,2018,2,49.26359,-122.874287
COMO LAKE AVE & UNNAMED LANE,Casualty,COQUITLAM,2018,2,49.263108,-122.799622
COTTONWOOD AVE & ROBINSON ST,Casualty,COQUITLAM,2018,2,49.258241,-122.879813
DAVID AVE & OXFORD ST,Casualty,COQUITLAM,2018,2,49.292967,-122.763114
DEWDNEY TRUNK RD & VIEWMOUNT DR,Casualty,COQUITLAM,2018,2,49.275724,-122.823827
DUNKIRK AVE & PIPELINE RD & TREVOR WINGROVE WAY,Casualty,COQUITLAM,2018,2,49.287886,-122.783567
DURANT DR & JOHNSON ST,Casualty,COQUITLAM,2018,2,49.287513,-122.801535
FOSTER AVE & NORTH RD,Casualty,COQUITLAM,2018,2,49.256806,-122.892969
FOSTER AVE & SCHOOLHOUSE ST,Casualty,COQUITLAM,2018,2,49.256146,-122.852211
GROVER AVE & LINTON ST,Casualty,COQUITLAM,2018,2,49.262488,-122.840827
GUILDFORD WAY & PACIFIC ST,Casualty,COQUITLAM,2018,2,49.285232,-122.798071
LIGHTHOUSE CRT & MARINER WAY,Casualty,COQUITLAM,2018,2,49.264178,-122.816497
LINCOLN AVE & PIPELINE RD,Casualty,COQUITLAM,2018,2,49.278641,-122.788197
LINCOLN AVE & PONDEROSA ST & TURNING LANE,Casualty,COQUITLAM,2018,2,49.279321,-122.79298
LOUGHEED HWY & MYRNAM ST,Casualty,COQUITLAM,2018,2,49.231926,-122.849008
