Latitude,Longitude,Location,Municipality,Crash Type,Year,Crash Count,
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,Casualty,2020,2,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,Casualty,2021,1,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,Casualty,2022,2,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,PDO,2018,2,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,PDO,2019,1,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,PDO,2021,3,0
49.020289,-122.762273,10 AVE & KING GEORGE BLVD,SURREY,PDO,2022,1,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,Casualty,2019,1,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,Casualty,2018,2,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,Casualty,2020,1,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,Casualty,2022,2,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,PDO,2019,1,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,PDO,2020,1,0
49.020209,-122.779229,10 AVE & PACIFIC AVE & STAYTE RD,SURREY,PDO,2022,3,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,Casualty,2018,2,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,Casualty,2019,4,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,Casualty,2020,4,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,Casualty,2021,3,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,Casualty,2022,2,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,PDO,2018,6,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,PDO,2019,6,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,PDO,2020,2,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,PDO,2021,4,0
49.184387,-122.89013,100 AVE & 120 ST & SCOTT RD,SURREY,PDO,2022,5,0
49.184412,-122.887357,100 AVE & 121 ST,SURREY,Casualty,2021,1,0
49.184412,-122.887357,100 AVE & 121 ST,SURREY,PDO,2018,1,0
49.184412,-122.887357,100 AVE & 121 ST,SURREY,PDO,2021,1,0
49.184406,-122.886,100 AVE & 121A ST,SURREY,PDO,2020,1,0
49.184409,-122.883986,100 AVE & 122 ST,SURREY,Casualty,2021,1,0
49.184409,-122.883986,100 AVE & 122 ST,SURREY,PDO,2022,1,0
49.184428,-122.880686,100 AVE & 123A ST,SURREY,Casualty,2019,1,0
49.184428,-122.880686,100 AVE & 123A ST,SURREY,Casualty,2022,1,0
49.184457,-122.878672,100 AVE & 124 ST,SURREY,Casualty,2021,1,0
49.184514,-122.877508,100 AVE & 124A ST,SURREY,Casualty,2019,1,0
49.184514,-122.877508,100 AVE & 124A ST,SURREY,PDO,2018,1,0
49.184479,-122.871481,100 AVE & 127 ST,SURREY,Casualty,2020,1,0
49.184479,-122.871481,100 AVE & 127 ST,SURREY,PDO,2021,1,0
49.184479,-122.871481,100 AVE & 127 ST,SURREY,PDO,2022,1,0
49.184461,-122.870447,100 AVE & 127A ST,SURREY,Casualty,2018,1,0
49.184461,-122.870447,100 AVE & 127A ST,SURREY,Casualty,2022,1,0
49.184461,-122.870447,100 AVE & 127A ST,SURREY,PDO,2019,1,0
49.184448,-122.86896,100 AVE & 127B ST,SURREY,PDO,2021,1,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,Casualty,2018,11,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,Casualty,2019,8,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,Casualty,2020,13,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,Casualty,2021,6,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,Casualty,2022,8,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,PDO,2018,1,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,PDO,2019,7,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,PDO,2020,3,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,PDO,2021,3,0
49.184446,-122.867686,100 AVE & 128 ST,SURREY,PDO,2022,4,0
49.184432,-122.86462,100 AVE & 129 ST,SURREY,Casualty,2018,1,0
49.184425,-122.863198,100 AVE & 129A ST,SURREY,PDO,2018,1,0
49.184418,-122.862097,100 AVE & 130 ST,SURREY,Casualty,2020,1,0
49.184418,-122.862097,100 AVE & 130 ST,SURREY,Casualty,2021,1,0
49.184418,-122.862097,100 AVE & 130 ST,SURREY,Casualty,2022,1,0
49.184418,-122.862097,100 AVE & 130 ST,SURREY,PDO,2019,1,0
49.184418,-122.862097,100 AVE & 130 ST,SURREY,PDO,2021,2,0
49.184418,-122.862097,100 AVE & 130 ST,SURREY,PDO,2022,2,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,Casualty,2018,13,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,Casualty,2019,13,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,Casualty,2020,14,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,Casualty,2021,7,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,Casualty,2022,8,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,PDO,2018,11,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,PDO,2019,7,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,PDO,2020,3,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,PDO,2021,6,0
49.184393,-122.85654,100 AVE & 132 ST,SURREY,PDO,2022,8,0
49.184377,-122.855291,100 AVE & 132A ST,SURREY,Casualty,2020,1,0
49.184377,-122.855291,100 AVE & 132A ST,SURREY,PDO,2019,1,0
49.184377,-122.855291,100 AVE & 132A ST,SURREY,PDO,2022,1,0
49.184056,-122.851703,100 AVE & 134 ST,SURREY,Casualty,2019,2,0
49.184056,-122.851703,100 AVE & 134 ST,SURREY,PDO,2021,1,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,PDO,2021,1,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,Casualty,2018,1,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,Casualty,2019,2,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,Casualty,2020,1,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,Casualty,2022,1,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,PDO,2018,1,0
49.184301,-122.84174,100 AVE & 137A ST,SURREY,PDO,2022,1,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,PDO,2021,2,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,Casualty,2018,2,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,Casualty,2019,2,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,Casualty,2020,2,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,Casualty,2021,1,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,Casualty,2022,2,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,PDO,2019,4,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,PDO,2020,2,0
49.184283,-122.839509,100 AVE & 138 ST,SURREY,PDO,2022,7,0
49.18429,-122.838218,100 AVE & 138A ST,SURREY,Casualty,2019,1,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,Casualty,2018,10,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,Casualty,2019,28,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,Casualty,2020,13,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,Casualty,2021,23,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,Casualty,2022,22,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,PDO,2018,16,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,PDO,2019,25,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,PDO,2020,10,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,PDO,2021,18,0
49.184271,-122.834211,100 AVE & 140 ST,SURREY,PDO,2022,31,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,Casualty,2018,1,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,Casualty,2019,1,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,Casualty,2020,1,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,Casualty,2021,1,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,PDO,2019,1,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,PDO,2020,1,0
49.184168,-122.831409,100 AVE & 141 ST,SURREY,PDO,2022,2,0
49.184241,-122.825914,100 AVE & 143 ST,SURREY,Casualty,2019,1,0
49.184241,-122.825914,100 AVE & 143 ST,SURREY,Casualty,2020,2,0
49.184241,-122.825914,100 AVE & 143 ST,SURREY,PDO,2018,1,0
49.184241,-122.825914,100 AVE & 143 ST,SURREY,PDO,2019,2,0
49.184241,-122.825914,100 AVE & 143 ST,SURREY,PDO,2022,1,0
49.184248,-122.824412,100 AVE & 143A ST,SURREY,Casualty,2020,1,0
49.184248,-122.824412,100 AVE & 143A ST,SURREY,PDO,2018,1,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,PDO,2021,7,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,Casualty,2018,5,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,Casualty,2019,8,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,Casualty,2020,6,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,Casualty,2021,7,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,Casualty,2022,7,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,PDO,2018,2,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,PDO,2019,4,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,PDO,2020,3,0
49.184094,-122.823089,100 AVE & 144 ST,SURREY,PDO,2022,4,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,PDO,2021,15,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,Casualty,2018,13,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,Casualty,2019,11,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,Casualty,2020,4,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,Casualty,2021,8,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,Casualty,2022,17,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,PDO,2018,17,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,PDO,2019,15,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,PDO,2020,7,0
49.184202,-122.812077,100 AVE & 148 ST,SURREY,PDO,2022,15,0
49.184207,-122.809358,100 AVE & 149 ST,SURREY,Casualty,2022,1,0
49.184207,-122.809358,100 AVE & 149 ST,SURREY,PDO,2018,1,0
49.184207,-122.809358,100 AVE & 149 ST,SURREY,PDO,2020,1,0
49.184207,-122.809358,100 AVE & 149 ST,SURREY,PDO,2021,2,0
49.184207,-122.809358,100 AVE & 149 ST,SURREY,PDO,2022,2,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,Casualty,2018,9,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,Casualty,2019,2,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,Casualty,2020,9,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,Casualty,2021,12,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,Casualty,2022,9,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,PDO,2018,5,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,PDO,2019,3,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,PDO,2020,6,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,PDO,2021,6,0
49.18422,-122.80653,100 AVE & 150 ST,SURREY,PDO,2022,12,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,PDO,2021,7,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,Casualty,2019,7,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,Casualty,2018,4,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,Casualty,2020,3,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,Casualty,2021,6,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,Casualty,2022,3,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,PDO,2018,4,0
49.184185,-122.803912,100 AVE & 151 ST,SURREY,PDO,2019,4,0
49.158247,-122.781299,FRASER HWY,SURREY,Casualty,2022,1,
49.181566,-122.78074,98A AVE,SURREY,Casualty,2022,1,
49.184185,-122.803912,100 AVE & 151 ST,SURREY,PDO,2020,2,0
49.018024,-122.779252,160 ST,SURREY,Casualty,2022,1,
49.184185,-122.803912,100 AVE & 151 ST,SURREY,PDO,2022,2,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,Casualty,2018,46,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,Casualty,2019,40,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,Casualty,2020,25,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,Casualty,2021,34,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,Casualty,2022,19,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,PDO,2018,34,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,PDO,2019,26,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,PDO,2020,24,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,PDO,2021,27,0
49.184194,-122.800938,100 AVE & 152 ST,SURREY,PDO,2022,36,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,Casualty,2018,6,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,Casualty,2019,7,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,Casualty,2020,3,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,Casualty,2021,1,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,Casualty,2022,2,0
49.174105,-122.777563,160A ST,SURREY,Casualty,2018,1,
49.184212,-122.79817,100 AVE & 153 ST,SURREY,PDO,2018,1,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,PDO,2019,4,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,PDO,2020,1,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,PDO,2021,3,0
49.184212,-122.79817,100 AVE & 153 ST,SURREY,PDO,2022,3,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,Casualty,2018,5,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,Casualty,2019,10,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,Casualty,2020,1,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,Casualty,2021,4,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,Casualty,2022,4,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,PDO,2018,4,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,PDO,2019,5,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,PDO,2020,1,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,PDO,2021,2,0
49.184267,-122.795409,100 AVE & 154 ST,SURREY,PDO,2022,8,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,Casualty,2018,3,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,Casualty,2019,1,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,Casualty,2020,1,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,Casualty,2021,1,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,PDO,2018,1,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,PDO,2020,2,0
49.184323,-122.792584,100 AVE & 155 ST,SURREY,PDO,2022,1,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,Casualty,2018,13,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,Casualty,2019,14,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,Casualty,2020,13,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,Casualty,2021,14,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,Casualty,2022,16,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,PDO,2018,10,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,PDO,2019,10,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,PDO,2020,8,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,PDO,2021,13,0
49.18436,-122.789865,100 AVE & 156 ST,SURREY,PDO,2022,4,0
49.184352,-122.788418,100 AVE & 156A ST,SURREY,Casualty,2020,1,0
49.184352,-122.788418,100 AVE & 156A ST,SURREY,PDO,2022,1,0
49.186367,-122.834194,140 ST,SURREY,Casualty,2022,1,
49.184351,-122.78704,100 AVE & 157 ST,SURREY,Casualty,2020,2,0
49.184351,-122.78704,100 AVE & 157 ST,SURREY,PDO,2019,1,0
49.18435,-122.784205,100 AVE & 158 ST,SURREY,Casualty,2018,1,0
49.18435,-122.784205,100 AVE & 158 ST,SURREY,Casualty,2019,1,0
49.18435,-122.784205,100 AVE & 158 ST,SURREY,Casualty,2022,1,0
49.184346,-122.779979,100 AVE & 159A ST,SURREY,PDO,2018,1,0
49.184346,-122.779979,100 AVE & 159A ST,SURREY,PDO,2022,1,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,Casualty,2018,10,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,Casualty,2019,10,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,Casualty,2020,6,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,Casualty,2021,7,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,Casualty,2022,9,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,PDO,2018,5,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,PDO,2019,7,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,PDO,2020,4,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,PDO,2021,3,0
49.184367,-122.778648,100 AVE & 160 ST,SURREY,PDO,2022,11,0
49.184709,-122.745475,100 AVE & 172 ST & BARNSTON DR W,SURREY,PDO,2019,1,0
49.184709,-122.745475,100 AVE & 172 ST & BARNSTON DR W,SURREY,PDO,2020,1,0
49.184709,-122.745475,100 AVE & 172 ST & BARNSTON DR W,SURREY,PDO,2022,1,0
49.184452,-122.737276,100 AVE & BARNSTON DR E,SURREY,PDO,2018,1,0
49.184452,-122.737276,100 AVE & BARNSTON DR E,SURREY,PDO,2022,1,0
49.184487,-122.872281,100 AVE & HELEN DR,SURREY,Casualty,2020,1,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,Casualty,2018,35,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,Casualty,2019,34,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,Casualty,2020,25,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,Casualty,2021,24,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,Casualty,2022,29,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,PDO,2018,35,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,PDO,2019,26,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,PDO,2020,17,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,PDO,2021,20,0
49.184272,-122.845453,100 AVE & KING GEORGE BLVD,SURREY,PDO,2022,31,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,PDO,2021,3,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,Casualty,2018,2,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,Casualty,2019,1,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,Casualty,2020,2,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,Casualty,2021,2,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,Casualty,2022,3,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,PDO,2019,1,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,PDO,2020,2,0
49.184373,-122.84716,100 AVE & OLD YALE RD & MALL ACCESS,SURREY,PDO,2022,4,0
49.184498,-122.873903,100 AVE & PARK DR,SURREY,PDO,2018,1,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,Casualty,2018,2,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,Casualty,2019,3,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,Casualty,2020,4,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,Casualty,2022,1,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,PDO,2018,1,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,PDO,2019,1,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,PDO,2021,2,0
49.184423,-122.860276,100 AVE & SEMIAHMOO RD,SURREY,PDO,2022,2,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,Casualty,2018,8,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,Casualty,2019,13,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,Casualty,2020,10,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,Casualty,2021,6,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,Casualty,2022,5,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,PDO,2018,16,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,PDO,2019,23,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,PDO,2020,6,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,PDO,2021,11,0
49.18428,-122.843225,100 AVE & WHALLEY BLVD,SURREY,PDO,2022,10,0
49.185649,-122.890121,100A AVE & 120 ST,SURREY,PDO,2020,1,0
49.185652,-122.888034,100A AVE & 120A ST,SURREY,Casualty,2018,1,0
49.185654,-122.887098,100A AVE & 121 ST,SURREY,Casualty,2022,1,0
49.185654,-122.887098,100A AVE & 121 ST,SURREY,PDO,2022,1,0
49.185675,-122.885997,100A AVE & 121A ST,SURREY,PDO,2020,1,0
49.185354,-122.856544,100A AVE & 132 ST,SURREY,Casualty,2019,1,0
49.185354,-122.856544,100A AVE & 132 ST,SURREY,Casualty,2020,1,0
49.185354,-122.856544,100A AVE & 132 ST,SURREY,Casualty,2022,1,0
49.185354,-122.856544,100A AVE & 132 ST,SURREY,PDO,2019,2,0
49.185395,-122.834207,100A AVE & 140 ST,SURREY,Casualty,2018,1,0
49.185395,-122.834207,100A AVE & 140 ST,SURREY,Casualty,2020,1,0
49.185395,-122.834207,100A AVE & 140 ST,SURREY,Casualty,2022,1,0
49.185395,-122.834207,100A AVE & 140 ST,SURREY,PDO,2021,1,0
49.185395,-122.834207,100A AVE & 140 ST,SURREY,PDO,2022,1,0
49.185161,-122.828646,100A AVE & 142 ST,SURREY,PDO,2022,1,0
49.185155,-122.825914,100A AVE & 143 ST,SURREY,PDO,2018,1,0
49.185155,-122.825914,100A AVE & 143 ST,SURREY,PDO,2020,1,0
49.184996,-122.730742,100A AVE & BARNSTON DR E,SURREY,PDO,2020,1,0
49.184996,-122.730742,100A AVE & BARNSTON DR E,SURREY,PDO,2022,1,0
49.186427,-122.890057,101 AVE & 120 ST,SURREY,Casualty,2021,1,0
49.186427,-122.890057,101 AVE & 120 ST,SURREY,PDO,2018,1,0
